"N;Date;Time;N [Decimal degrees];E [Decimal degrees];GPS uncertainty [m];h [m];Location provider;D [ÎĽSv/h];Standard deviation;Standard error of the mean value;CF;Number of measured points".
"627;2022-09-09;10:15:18;46.053;14.574;3.79;322.574;gps;0.061;0;0;0;1".
"628;2022-09-09;10:15:19;46.053;14.574;3.79;322.975;gps;0.061;0;0;0;1".
"629;2022-09-09;10:15:20;46.053;14.574;3.79;323.148;gps;0.061;0;0;0;1".
"630;2022-09-09;10:15:21;46.052;14.574;3.79;323.481;gps;0.059;0;0;0;1".
"631;2022-09-09;10:15:22;46.052;14.574;3.79;323.547;gps;0.059;0;0;0;1".
"632;2022-09-09;10:15:23;46.052;14.574;3.79;323.439;gps;0.058;0;0;0;1".
"633;2022-09-09;10:15:24;46.052;14.574;3.79;323.515;gps;0.058;0;0;0;1".
"634;2022-09-09;10:15:25;46.052;14.575;3.79;323.396;gps;0.058;0;0;0;1".
"635;2022-09-09;10:15:26;46.051;14.575;3.79;323.348;gps;0.058;0;0;0;1".
"636;2022-09-09;10:15:27;46.051;14.575;3.79;323.272;gps;0.058;0;0;0;1".
"637;2022-09-09;10:15:28;46.051;14.575;3.79;323.281;gps;0.059;0;0;0;1".
"638;2022-09-09;10:15:29;46.051;14.575;3.79;323.578;gps;0.062;0;0;0;1".
"639;2022-09-09;10:15:30;46.05;14.575;3.79;323.263;gps;0.061;0;0;0;1".
"640;2022-09-09;10:15:31;46.05;14.575;3.79;323.459;gps;0.061;0;0;0;1".
"641;2022-09-09;10:15:32;46.05;14.575;3.79;323.561;gps;0.06;0;0;0;1".
"642;2022-09-09;10:15:33;46.05;14.575;3.79;324.034;gps;0.058;0;0;0;1".
"643;2022-09-09;10:15:34;46.049;14.575;3.79;324.055;gps;0.057;0;0;0;1".
"644;2022-09-09;10:15:35;46.049;14.575;3.79;324.261;gps;0.055;0;0;0;1".
"645;2022-09-09;10:15:36;46.049;14.575;3.79;324.615;gps;0.057;0;0;0;1".
"646;2022-09-09;10:15:37;46.049;14.575;3.79;324.063;gps;0.055;0;0;0;1".
"647;2022-09-09;10:15:38;46.048;14.575;3.79;323.971;gps;0.056;0;0;0;1".
"648;2022-09-09;10:15:39;46.048;14.575;3.79;326.083;gps;0.054;0;0;0;1".
"649;2022-09-09;10:15:40;46.048;14.576;3.79;325.661;gps;0.054;0;0;0;1".
"650;2022-09-09;10:15:41;46.047;14.576;3.79;325.63;gps;0.054;0;0;0;1".
"651;2022-09-09;10:15:42;46.047;14.576;3.79;325.769;gps;0.053;0;0;0;1".
"652;2022-09-09;10:15:43;46.047;14.576;3.79;326.166;gps;0.054;0;0;0;1".
"653;2022-09-09;10:15:44;46.047;14.576;3.79;325.566;gps;0.054;0;0;0;1".
"654;2022-09-09;10:15:45;46.046;14.576;3.79;325.213;gps;0.055;0;0;0;1".
"655;2022-09-09;10:15:46;46.046;14.576;3.79;325.225;gps;0.053;0;0;0;1".
"656;2022-09-09;10:15:47;46.046;14.576;3.79;325.468;gps;0.055;0;0;0;1".
"657;2022-09-09;10:15:48;46.046;14.576;3.79;325.191;gps;0.055;0;0;0;1".
"658;2022-09-09;10:15:49;46.045;14.576;3.79;325.372;gps;0.056;0;0;0;1".
"659;2022-09-09;10:15:50;46.045;14.576;3.79;326.256;gps;0.056;0;0;0;1".
"660;2022-09-09;10:15:51;46.045;14.576;3.79;326.139;gps;0.056;0;0;0;1".
"661;2022-09-09;10:15:52;46.044;14.576;3.79;326.261;gps;0.053;0;0;0;1".
"662;2022-09-09;10:15:53;46.044;14.576;3.79;325.992;gps;0.054;0;0;0;1".
"663;2022-09-09;10:15:54;46.044;14.577;3.79;325.906;gps;0.056;0;0;0;1".
"664;2022-09-09;10:15:55;46.044;14.577;3.79;325.465;gps;0.058;0;0;0;1".
"665;2022-09-09;10:15:56;46.043;14.577;3.79;325.376;gps;0.057;0;0;0;1".
"666;2022-09-09;10:15:57;46.043;14.577;3.79;325.347;gps;0.056;0;0;0;1".
"667;2022-09-09;10:15:58;46.043;14.577;3.79;325.268;gps;0.056;0;0;0;1".
"668;2022-09-09;10:15:59;46.043;14.577;3.79;325.719;gps;0.055;0;0;0;1".
"669;2022-09-09;10:16:00;46.042;14.577;3.79;325.42;gps;0.057;0;0;0;1".
"670;2022-09-09;10:16:01;46.042;14.577;3.79;326.025;gps;0.058;0;0;0;1".
"671;2022-09-09;10:16:02;46.042;14.577;3.79;326.341;gps;0.057;0;0;0;1".
"672;2022-09-09;10:16:03;46.042;14.576;3.79;327.304;gps;0.056;0;0;0;1".
"673;2022-09-09;10:16:04;46.041;14.576;3.79;328.931;gps;0.058;0;0;0;1".
"674;2022-09-09;10:16:05;46.041;14.576;3.79;329.398;gps;0.06;0;0;0;1".
"675;2022-09-09;10:16:06;46.041;14.576;3.79;329.58;gps;0.062;0;0;0;1".
"676;2022-09-09;10:16:07;46.041;14.576;3.79;330.056;gps;0.062;0;0;0;1".
"677;2022-09-09;10:16:08;46.04;14.576;3.79;330.31;gps;0.06;0;0;0;1".
"678;2022-09-09;10:16:09;46.04;14.576;3.79;331.493;gps;0.059;0;0;0;1".
"679;2022-09-09;10:16:10;46.04;14.576;3.79;332.354;gps;0.057;0;0;0;1".
"680;2022-09-09;10:16:11;46.04;14.576;3.79;333.68;gps;0.056;0;0;0;1".
"681;2022-09-09;10:16:12;46.039;14.576;3.79;335.225;gps;0.055;0;0;0;1".
"682;2022-09-09;10:16:13;46.039;14.575;3.79;336.609;gps;0.052;0;0;0;1".
"683;2022-09-09;10:16:14;46.039;14.575;3.79;338.13;gps;0.054;0;0;0;1".
"684;2022-09-09;10:16:15;46.039;14.575;3.79;338.808;gps;0.054;0;0;0;1".
"685;2022-09-09;10:16:16;46.038;14.575;3.79;340.457;gps;0.055;0;0;0;1".
"686;2022-09-09;10:16:17;46.038;14.575;3.79;341.383;gps;0.055;0;0;0;1".
"687;2022-09-09;10:16:18;46.038;14.575;3.79;342.74;gps;0.055;0;0;0;1".
"688;2022-09-09;10:16:19;46.038;14.574;3.79;343.824;gps;0.056;0;0;0;1".
"689;2022-09-09;10:16:20;46.037;14.574;3.79;345.42;gps;0.057;0;0;0;1".
"690;2022-09-09;10:16:21;46.037;14.574;3.79;346.468;gps;0.056;0;0;0;1".
"691;2022-09-09;10:16:22;46.037;14.574;3.79;347.62;gps;0.056;0;0;0;1".
"692;2022-09-09;10:16:23;46.037;14.574;3.79;347.951;gps;0.056;0;0;0;1".
"693;2022-09-09;10:16:24;46.037;14.573;3.79;349.227;gps;0.055;0;0;0;1".
"694;2022-09-09;10:16:25;46.036;14.573;3.79;349.63;gps;0.053;0;0;0;1".
"695;2022-09-09;10:16:26;46.036;14.573;3.79;344.875;gps;0.054;0;0;0;1".
"696;2022-09-09;10:16:27;46.036;14.573;3.79;347.579;gps;0.053;0;0;0;1".
"697;2022-09-09;10:16:28;46.036;14.573;3.79;349.191;gps;0.051;0;0;0;1".
"698;2022-09-09;10:16:29;46.036;14.572;3.79;351.22;gps;0.052;0;0;0;1".
"699;2022-09-09;10:16:30;46.035;14.572;3.79;352.039;gps;0.053;0;0;0;1".
"700;2022-09-09;10:16:31;46.035;14.572;3.79;353.424;gps;0.053;0;0;0;1".
"701;2022-09-09;10:16:32;46.035;14.572;3.79;354.327;gps;0.053;0;0;0;1".
"702;2022-09-09;10:16:33;46.035;14.572;3.79;354.741;gps;0.051;0;0;0;1".
"703;2022-09-09;10:16:34;46.035;14.572;3.79;353.366;gps;0.051;0;0;0;1".
"704;2022-09-09;10:16:35;46.034;14.571;3.79;354.797;gps;0.055;0;0;0;1".
"705;2022-09-09;10:16:36;46.034;14.571;3.79;356.457;gps;0.055;0;0;0;1".
"706;2022-09-09;10:16:37;46.034;14.571;3.79;356.947;gps;0.054;0;0;0;1".
"707;2022-09-09;10:16:38;46.034;14.571;3.79;357.565;gps;0.054;0;0;0;1".
"708;2022-09-09;10:16:39;46.034;14.571;3.79;356.903;gps;0.057;0;0;0;1".
"709;2022-09-09;10:16:40;46.033;14.571;3.79;357.313;gps;0.059;0;0;0;1".
"710;2022-09-09;10:16:41;46.033;14.571;3.79;357.631;gps;0.059;0;0;0;1".
"711;2022-09-09;10:16:43;46.033;14.571;5.36;358.179;averaged;0.061;0.001;0.001;0;2".
"712;2022-09-09;10:16:44;46.033;14.57;3.79;358.214;gps;0.063;0;0;0;1".
"713;2022-09-09;10:16:45;46.033;14.57;3.79;357.926;gps;0.063;0;0;0;1".
"714;2022-09-09;10:16:46;46.032;14.57;3.79;358.219;gps;0.063;0;0;0;1".
"715;2022-09-09;10:16:47;46.032;14.57;3.79;358.422;gps;0.062;0;0;0;1".
"716;2022-09-09;10:16:48;46.032;14.57;3.79;359.133;gps;0.061;0;0;0;1".
"717;2022-09-09;10:16:49;46.032;14.57;3.79;359.278;gps;0.062;0;0;0;1".
"718;2022-09-09;10:16:50;46.032;14.57;3.79;359.253;gps;0.061;0;0;0;1".
"719;2022-09-09;10:16:51;46.032;14.57;3.79;359.459;gps;0.061;0;0;0;1".
"720;2022-09-09;10:16:52;46.031;14.57;3.79;359.554;gps;0.06;0;0;0;1".
"721;2022-09-09;10:16:53;46.031;14.57;3.79;359.791;gps;0.061;0;0;0;1".
"722;2022-09-09;10:16:54;46.031;14.57;3.79;359.589;gps;0.06;0;0;0;1".
"723;2022-09-09;10:16:55;46.031;14.57;3.79;359.762;gps;0.059;0;0;0;1".
"724;2022-09-09;10:16:56;46.031;14.57;3.79;361.238;gps;0.059;0;0;0;1".
"725;2022-09-09;10:16:57;46.031;14.569;3.79;361.773;gps;0.059;0;0;0;1".
"726;2022-09-09;10:16:59;46.031;14.569;3.79;361.339;gps;0.057;0;0;0;1".
"727;2022-09-09;10:17:00;46.03;14.569;3.79;360.079;gps;0.057;0;0;0;1".
"728;2022-09-09;10:17:01;46.03;14.569;3.79;360.823;gps;0.058;0;0;0;1".
"729;2022-09-09;10:17:12;46.03;14.569;13.475;361.558;averaged;0.051;0.006;0.002;0;11".
"730;2022-09-09;10:17:13;46.029;14.568;8.811;360.836;gps;0.043;0;0;0;1".
"731;2022-09-09;10:17:14;46.028;14.568;4.625;362.396;gps;0.042;0;0;0;1".
"732;2022-09-09;10:17:15;46.028;14.568;4.102;363.742;gps;0.045;0;0;0;1".
"733;2022-09-09;10:17:16;46.028;14.568;3.929;363.207;gps;0.048;0;0;0;1".
"734;2022-09-09;10:17:17;46.028;14.568;3.79;363.605;gps;0.05;0;0;0;1".
"735;2022-09-09;10:17:18;46.028;14.568;3.79;363.689;gps;0.052;0;0;0;1".
"736;2022-09-09;10:17:19;46.028;14.568;3.79;364.188;gps;0.054;0;0;0;1".
"737;2022-09-09;10:17:20;46.028;14.568;3.79;364.657;gps;0.056;0;0;0;1".
"738;2022-09-09;10:17:21;46.027;14.568;3.79;364.86;gps;0.057;0;0;0;1".
"739;2022-09-09;10:17:22;46.027;14.567;3.79;364.618;gps;0.058;0;0;0;1".
"740;2022-09-09;10:17:23;46.027;14.567;3.79;364.671;gps;0.057;0;0;0;1".
"741;2022-09-09;10:17:24;46.027;14.567;3.79;364.344;gps;0.057;0;0;0;1".
"742;2022-09-09;10:17:25;46.027;14.567;3.79;365.035;gps;0.056;0;0;0;1".
"743;2022-09-09;10:17:26;46.027;14.567;3.79;365.231;gps;0.051;0;0;0;1".
"744;2022-09-09;10:17:27;46.027;14.567;3.79;365.964;gps;0.058;0;0;0;1".
"745;2022-09-09;10:17:28;46.026;14.567;3.79;366.259;gps;0.056;0;0;0;1".
"746;2022-09-09;10:17:29;46.026;14.567;3.79;367.513;gps;0.056;0;0;0;1".
"747;2022-09-09;10:17:30;46.026;14.567;3.79;367.952;gps;0.055;0;0;0;1".
"748;2022-09-09;10:17:31;46.026;14.567;3.79;368.183;gps;0.055;0;0;0;1".
"749;2022-09-09;10:17:32;46.026;14.567;3.79;368.172;gps;0.055;0;0;0;1".
"750;2022-09-09;10:17:33;46.026;14.567;3.79;368.253;gps;0.054;0;0;0;1".
"751;2022-09-09;10:17:34;46.026;14.566;3.79;369.225;gps;0.055;0;0;0;1".
"752;2022-09-09;10:17:35;46.025;14.566;3.79;369.502;gps;0.056;0;0;0;1".
"753;2022-09-09;10:17:36;46.025;14.566;3.79;370.218;gps;0.055;0;0;0;1".
"754;2022-09-09;10:17:37;46.025;14.566;3.79;370.537;gps;0.055;0;0;0;1".
"755;2022-09-09;10:17:38;46.025;14.566;3.79;370.923;gps;0.056;0;0;0;1".
"756;2022-09-09;10:17:39;46.025;14.566;3.79;371.475;gps;0.058;0;0;0;1".
"757;2022-09-09;10:17:40;46.025;14.566;3.79;371.684;gps;0.059;0;0;0;1".
"758;2022-09-09;10:17:41;46.025;14.566;3.79;372.235;gps;0.062;0;0;0;1".
"759;2022-09-09;10:17:42;46.024;14.566;3.79;372.365;gps;0.062;0;0;0;1".
"760;2022-09-09;10:17:43;46.024;14.566;3.79;372.567;gps;0.061;0;0;0;1".
"761;2022-09-09;10:17:44;46.024;14.565;3.79;373.187;gps;0.061;0;0;0;1".
"762;2022-09-09;10:17:45;46.024;14.565;3.79;373.909;gps;0.06;0;0;0;1".
"763;2022-09-09;10:17:46;46.024;14.565;3.79;374.14;gps;0.062;0;0;0;1".
"764;2022-09-09;10:17:47;46.024;14.565;3.79;374.527;gps;0.063;0;0;0;1".
"765;2022-09-09;10:17:48;46.024;14.565;3.79;374.442;gps;0.063;0;0;0;1".
"766;2022-09-09;10:17:49;46.024;14.565;3.79;375.239;gps;0.064;0;0;0;1".
"767;2022-09-09;10:17:50;46.023;14.565;3.79;375.111;gps;0.063;0;0;0;1".
"768;2022-09-09;10:17:51;46.023;14.565;3.79;375.059;gps;0.062;0;0;0;1".
"769;2022-09-09;10:17:52;46.023;14.565;3.79;375.086;gps;0.06;0;0;0;1".
"770;2022-09-09;10:17:54;46.023;14.564;5.36;375.128;averaged;0.06;0.001;0.001;0;2".
"771;2022-09-09;10:17:56;46.023;14.564;5.36;375.338;averaged;0.056;0.001;0.001;0;2".
"772;2022-09-09;10:17:57;46.023;14.564;3.79;375.158;gps;0.057;0;0;0;1".
"773;2022-09-09;10:17:58;46.023;14.564;3.79;374.977;gps;0.058;0;0;0;1".
"774;2022-09-09;10:18:00;46.022;14.564;5.36;376.193;averaged;0.06;0.001;0.001;0;2".
"775;2022-09-09;10:18:01;46.022;14.564;3.79;376.257;gps;0.064;0;0;0;1".
"776;2022-09-09;10:18:02;46.022;14.563;3.79;376.887;gps;0.066;0;0;0;1".
"777;2022-09-09;10:18:03;46.022;14.563;3.79;376.996;gps;0.07;0;0;0;1".
"778;2022-09-09;10:18:03;46.022;14.563;3.79;377.363;gps;0.069;0;0;0;1".
"779;2022-09-09;10:18:05;46.022;14.563;3.79;377.946;gps;0.067;0;0;0;1".
"780;2022-09-09;10:18:05;46.022;14.563;3.79;377.853;gps;0.064;0;0;0;1".
"781;2022-09-09;10:18:40;46.022;14.563;39.577;377.801;averaged;0.031;0.011;0.002;0;35".
"782;2022-09-09;10:18:41;46.017;14.558;5.926;376.848;gps;0.029;0;0;0;1".
"783;2022-09-09;10:18:42;46.017;14.558;5.121;375.125;gps;0.034;0;0;0;1".
"784;2022-09-09;10:18:43;46.017;14.558;4.408;374.124;gps;0.036;0;0;0;1".
"785;2022-09-09;10:18:44;46.017;14.558;3.83;375.024;gps;0.039;0;0;0;1".
"786;2022-09-09;10:18:45;46.017;14.558;3.79;374.16;gps;0.041;0;0;0;1".
"787;2022-09-09;10:18:46;46.017;14.558;3.79;373.264;gps;0.042;0;0;0;1".
"788;2022-09-09;10:18:47;46.016;14.557;3.79;371.983;gps;0.043;0;0;0;1".
"789;2022-09-09;10:18:48;46.016;14.557;3.79;371.903;gps;0.046;0;0;0;1".
"790;2022-09-09;10:18:49;46.016;14.557;3.79;370.948;gps;0.048;0;0;0;1".
"791;2022-09-09;10:18:50;46.016;14.557;3.79;369.382;gps;0.05;0;0;0;1".
"792;2022-09-09;10:18:51;46.016;14.557;3.79;367.999;gps;0.052;0;0;0;1".
"793;2022-09-09;10:18:52;46.016;14.557;3.79;366.781;gps;0.055;0;0;0;1".
"794;2022-09-09;10:18:53;46.015;14.557;3.79;365.316;gps;0.056;0;0;0;1".
"795;2022-09-09;10:18:54;46.015;14.557;3.79;364.558;gps;0.054;0;0;0;1".
"796;2022-09-09;10:18:55;46.015;14.557;3.79;363.565;gps;0.055;0;0;0;1".
"797;2022-09-09;10:18:56;46.015;14.556;3.79;364.234;gps;0.056;0;0;0;1".
"798;2022-09-09;10:18:57;46.015;14.556;3.79;362.966;gps;0.058;0;0;0;1".
"799;2022-09-09;10:18:58;46.015;14.556;3.79;360.588;gps;0.058;0;0;0;1".
"800;2022-09-09;10:18:59;46.015;14.556;3.79;360.509;gps;0.058;0;0;0;1".
"801;2022-09-09;10:19:00;46.014;14.556;3.79;358.176;gps;0.057;0;0;0;1".
"802;2022-09-09;10:19:01;46.014;14.555;3.79;357.294;gps;0.059;0;0;0;1".
"803;2022-09-09;10:19:02;46.014;14.555;3.79;355.709;gps;0.059;0;0;0;1".
"804;2022-09-09;10:19:03;46.014;14.555;3.79;353.113;gps;0.058;0;0;0;1".
"805;2022-09-09;10:19:04;46.014;14.555;3.79;352.159;gps;0.06;0;0;0;1".
"806;2022-09-09;10:19:05;46.014;14.554;3.79;351.2;gps;0.059;0;0;0;1".
"807;2022-09-09;10:19:06;46.014;14.554;3.79;351.159;gps;0.06;0;0;0;1".
"808;2022-09-09;10:19:07;46.014;14.554;3.79;351.845;gps;0.061;0;0;0;1".
"809;2022-09-09;10:19:08;46.014;14.553;3.79;352.068;gps;0.062;0;0;0;1".
"810;2022-09-09;10:19:09;46.014;14.553;3.79;351.972;gps;0.062;0;0;0;1".
"811;2022-09-09;10:19:10;46.013;14.553;3.79;352.392;gps;0.063;0;0;0;1".
"812;2022-09-09;10:19:11;46.013;14.553;3.79;353.022;gps;0.063;0;0;0;1".
"813;2022-09-09;10:19:12;46.013;14.552;3.79;355.257;gps;0.063;0;0;0;1".
"814;2022-09-09;10:19:13;46.013;14.552;3.79;354.405;gps;0.062;0;0;0;1".
"815;2022-09-09;10:19:14;46.013;14.552;3.79;354.251;gps;0.06;0;0;0;1".
"816;2022-09-09;10:19:15;46.013;14.551;3.79;354.705;gps;0.06;0;0;0;1".
"817;2022-09-09;10:19:16;46.013;14.551;3.79;355.002;gps;0.058;0;0;0;1".
"818;2022-09-09;10:19:17;46.013;14.551;3.79;354.918;gps;0.058;0;0;0;1".
"819;2022-09-09;10:19:18;46.013;14.55;3.79;355.385;gps;0.06;0;0;0;1".
"820;2022-09-09;10:19:19;46.013;14.55;3.79;355.433;gps;0.06;0;0;0;1".
"821;2022-09-09;10:19:20;46.013;14.55;3.79;355.743;gps;0.06;0;0;0;1".
"822;2022-09-09;10:19:21;46.014;14.549;3.79;355.912;gps;0.059;0;0;0;1".
"823;2022-09-09;10:19:22;46.014;14.549;3.79;356.161;gps;0.059;0;0;0;1".
"824;2022-09-09;10:19:23;46.014;14.549;3.79;355.842;gps;0.059;0;0;0;1".
"825;2022-09-09;10:19:24;46.014;14.548;3.79;356.408;gps;0.06;0;0;0;1".
"826;2022-09-09;10:19:25;46.014;14.548;3.79;355.858;gps;0.058;0;0;0;1".
"827;2022-09-09;10:19:26;46.014;14.548;3.79;355.882;gps;0.061;0;0;0;1".
"828;2022-09-09;10:19:27;46.014;14.547;3.79;355.961;gps;0.061;0;0;0;1".
"829;2022-09-09;10:19:28;46.014;14.547;3.79;356.479;gps;0.062;0;0;0;1".
"830;2022-09-09;10:19:29;46.014;14.546;3.79;356.725;gps;0.061;0;0;0;1".
"831;2022-09-09;10:19:30;46.014;14.546;3.79;356.761;gps;0.064;0;0;0;1".
"832;2022-09-09;10:19:31;46.014;14.546;3.79;356.639;gps;0.064;0;0;0;1".
"833;2022-09-09;10:19:32;46.014;14.545;3.79;356.467;gps;0.061;0;0;0;1".
"834;2022-09-09;10:19:33;46.014;14.545;3.79;355.509;gps;0.059;0;0;0;1".
"835;2022-09-09;10:19:34;46.014;14.545;3.79;355.06;gps;0.058;0;0;0;1".
"836;2022-09-09;10:19:35;46.014;14.544;3.79;353.816;gps;0.057;0;0;0;1".
"837;2022-09-09;10:19:36;46.014;14.544;3.79;353.254;gps;0.059;0;0;0;1".
"838;2022-09-09;10:19:37;46.014;14.544;3.79;352.433;gps;0.059;0;0;0;1".
"839;2022-09-09;10:19:38;46.014;14.543;3.79;351.407;gps;0.06;0;0;0;1".
"840;2022-09-09;10:19:39;46.014;14.543;3.79;350.348;gps;0.059;0;0;0;1".
"841;2022-09-09;10:19:40;46.014;14.542;3.79;349.491;gps;0.06;0;0;0;1".
"842;2022-09-09;10:19:41;46.014;14.542;3.79;348.425;gps;0.06;0;0;0;1".
"843;2022-09-09;10:19:43;46.014;14.541;5.36;347.047;averaged;0.061;0;0;0;2".
"844;2022-09-09;10:19:44;46.014;14.541;3.79;346.519;gps;0.061;0;0;0;1".
"845;2022-09-09;10:19:45;46.014;14.54;3.79;345.956;gps;0.062;0;0;0;1".
"846;2022-09-09;10:19:46;46.014;14.54;3.79;345.185;gps;0.061;0;0;0;1".
"847;2022-09-09;10:19:47;46.015;14.54;3.79;344.67;gps;0.06;0;0;0;1".
"848;2022-09-09;10:19:48;46.015;14.539;3.79;344.214;gps;0.059;0;0;0;1".
"849;2022-09-09;10:19:49;46.015;14.539;3.79;343.839;gps;0.059;0;0;0;1".
"850;2022-09-09;10:19:50;46.015;14.539;3.79;343.386;gps;0.058;0;0;0;1".
"851;2022-09-09;10:19:51;46.015;14.538;3.79;342.93;gps;0.059;0;0;0;1".
"852;2022-09-09;10:19:52;46.015;14.538;3.79;342.865;gps;0.058;0;0;0;1".
"853;2022-09-09;10:19:53;46.015;14.537;3.79;341.967;gps;0.059;0;0;0;1".
"854;2022-09-09;10:19:54;46.015;14.537;3.79;339.95;gps;0.058;0;0;0;1".
"855;2022-09-09;10:19:55;46.015;14.537;3.79;339.849;gps;0.058;0;0;0;1".
"856;2022-09-09;10:19:56;46.015;14.536;3.79;338.655;gps;0.057;0;0;0;1".
"857;2022-09-09;10:19:57;46.015;14.536;3.79;337.998;gps;0.056;0;0;0;1".
"858;2022-09-09;10:19:58;46.015;14.535;3.79;338.205;gps;0.055;0;0;0;1".
"859;2022-09-09;10:19:59;46.015;14.535;3.79;337.816;gps;0.055;0;0;0;1".
"860;2022-09-09;10:20:00;46.015;14.535;3.79;338.257;gps;0.053;0;0;0;1".
"861;2022-09-09;10:20:01;46.015;14.534;3.79;338.427;gps;0.052;0;0;0;1".
"862;2022-09-09;10:20:02;46.015;14.534;3.79;341.698;gps;0.052;0;0;0;1".
"863;2022-09-09;10:20:03;46.015;14.533;3.79;340.552;gps;0.053;0;0;0;1".
"864;2022-09-09;10:20:04;46.015;14.533;3.79;339.896;gps;0.053;0;0;0;1".
"865;2022-09-09;10:20:05;46.015;14.533;3.79;339.365;gps;0.055;0;0;0;1".
"866;2022-09-09;10:20:06;46.016;14.532;3.79;339.187;gps;0.054;0;0;0;1".
"867;2022-09-09;10:20:07;46.016;14.532;3.79;339.257;gps;0.052;0;0;0;1".
"868;2022-09-09;10:20:08;46.016;14.531;3.79;338.868;gps;0.053;0;0;0;1".
"869;2022-09-09;10:20:09;46.016;14.531;3.79;338.672;gps;0.052;0;0;0;1".
"870;2022-09-09;10:20:10;46.016;14.531;3.79;338.607;gps;0.051;0;0;0;1".
"871;2022-09-09;10:20:11;46.016;14.53;3.79;338.603;gps;0.051;0;0;0;1".
"872;2022-09-09;10:20:12;46.016;14.53;3.79;338.445;gps;0.053;0;0;0;1".
"873;2022-09-09;10:20:13;46.016;14.529;3.79;337.996;gps;0.051;0;0;0;1".
"874;2022-09-09;10:20:14;46.016;14.529;3.79;337.777;gps;0.049;0;0;0;1".
"875;2022-09-09;10:20:15;46.016;14.529;3.79;337.54;gps;0.047;0;0;0;1".
"876;2022-09-09;10:20:17;46.017;14.528;3.79;337.328;gps;0.047;0;0;0;1".
"877;2022-09-09;10:20:18;46.017;14.527;3.79;336.958;gps;0.046;0;0;0;1".
"878;2022-09-09;10:20:19;46.017;14.527;3.79;336.699;gps;0.047;0;0;0;1".
"879;2022-09-09;10:20:20;46.017;14.527;3.79;336.644;gps;0.047;0;0;0;1".
"880;2022-09-09;10:20:21;46.017;14.526;3.79;336.773;gps;0.046;0;0;0;1".
"881;2022-09-09;10:20:22;46.017;14.526;3.79;336.927;gps;0.046;0;0;0;1".
"882;2022-09-09;10:20:23;46.017;14.525;3.79;336.797;gps;0.046;0;0;0;1".
"883;2022-09-09;10:20:24;46.017;14.525;3.79;337.182;gps;0.046;0;0;0;1".
"884;2022-09-09;10:20:25;46.017;14.525;3.79;337.078;gps;0.049;0;0;0;1".
"885;2022-09-09;10:20:26;46.018;14.524;3.79;337.02;gps;0.05;0;0;0;1".
"886;2022-09-09;10:20:27;46.018;14.524;3.79;336.837;gps;0.049;0;0;0;1".
"887;2022-09-09;10:20:28;46.018;14.523;3.79;336.929;gps;0.048;0;0;0;1".
"888;2022-09-09;10:20:29;46.018;14.523;3.79;336.876;gps;0.049;0;0;0;1".
"889;2022-09-09;10:20:30;46.018;14.523;3.79;336.718;gps;0.048;0;0;0;1".
"890;2022-09-09;10:20:31;46.018;14.522;3.79;336.509;gps;0.048;0;0;0;1".
"891;2022-09-09;10:20:32;46.018;14.522;3.79;336.783;gps;0.048;0;0;0;1".
"892;2022-09-09;10:20:33;46.019;14.522;3.79;336.838;gps;0.049;0;0;0;1".
"893;2022-09-09;10:20:34;46.019;14.521;3.79;337.098;gps;0.05;0;0;0;1".
"894;2022-09-09;10:20:35;46.019;14.521;3.79;337.321;gps;0.056;0;0;0;1".
"895;2022-09-09;10:20:36;46.019;14.52;3.79;336.97;gps;0.059;0;0;0;1".
"896;2022-09-09;10:20:37;46.019;14.52;3.79;336.976;gps;0.055;0;0;0;1".
"897;2022-09-09;10:20:38;46.019;14.52;3.79;336.83;gps;0.058;0;0;0;1".
"898;2022-09-09;10:20:39;46.019;14.519;3.79;336.84;gps;0.06;0;0;0;1".
"899;2022-09-09;10:20:40;46.02;14.519;3.79;336.258;gps;0.061;0;0;0;1".
"900;2022-09-09;10:20:41;46.02;14.518;3.79;336.322;gps;0.06;0;0;0;1".
"901;2022-09-09;10:20:42;46.02;14.518;3.79;335.664;gps;0.059;0;0;0;1".
"902;2022-09-09;10:20:43;46.02;14.518;3.79;336.967;gps;0.057;0;0;0;1".
"903;2022-09-09;10:20:44;46.02;14.517;3.79;336.404;gps;0.055;0;0;0;1".
"904;2022-09-09;10:20:45;46.02;14.517;3.79;335.542;gps;0.053;0;0;0;1".
"905;2022-09-09;10:20:46;46.021;14.517;3.79;335.303;gps;0.053;0;0;0;1".
"906;2022-09-09;10:20:47;46.021;14.516;3.79;336.49;gps;0.053;0;0;0;1".
"907;2022-09-09;10:20:48;46.021;14.516;3.79;335.951;gps;0.05;0;0;0;1".
"908;2022-09-09;10:20:49;46.021;14.516;3.79;336.42;gps;0.055;0;0;0;1".
"909;2022-09-09;10:20:50;46.021;14.515;3.79;336.286;gps;0.057;0;0;0;1".
"910;2022-09-09;10:20:51;46.021;14.515;3.79;337.319;gps;0.058;0;0;0;1".
"911;2022-09-09;10:20:52;46.021;14.515;3.79;337.553;gps;0.059;0;0;0;1".
"912;2022-09-09;10:20:53;46.022;14.514;3.79;337.509;gps;0.059;0;0;0;1".
"913;2022-09-09;10:20:54;46.022;14.514;3.79;338.495;gps;0.058;0;0;0;1".
"914;2022-09-09;10:20:55;46.022;14.514;3.79;338.756;gps;0.058;0;0;0;1".
"915;2022-09-09;10:20:56;46.022;14.513;3.79;338.602;gps;0.059;0;0;0;1".
