;"""N";Date;Time;N [Decimal degrees];E [Decimal degrees];GPS uncertainty [m];h [m];Location provider;D [μSv/h];Standard deviation;Standard error of the mean value;CF;"Number of measured points""."
14072;"""73";2021-09-08;08:11:19;45.89;15.629999999999999;98.4;189.2;network;0.088;0;0;0;"1""."
49331;"""3484";2021-09-23;07:23:51;46.57;15.760000000000002;3.79;295.394;gps;0.088;0;0;0;"1""."
46224;"""377";2021-09-23;05:42:14;46.03;14.5;3.79;332.584;gps;0.088;0;0;0;"1""."
47887;"""2040";2021-09-23;06:36:34;46.260000000000005;15.209999999999999;3.79;312.026;gps;0.088;0;0;0;"1""."
47880;"""2033";2021-09-23;06:36:20;46.269999999999996;15.2;3.79;311.402;gps;0.088;0;0;0;"1""."
56401;"""3452";2022-05-28;19:10:54;46.18000000000001;14.81;3.79;489.782;gps;0.089;0;0;0;"1""."
50098;"""4251";2021-09-23;07:48:58;46.67;15.93;11.133;291.67;gps;0.089;0;0;0;"1""."
49858;"""4011";2021-09-23;07:41:10;46.6;15.88;3.79;325.422;gps;0.089;0;0;0;"1""."
53401;"""452";2022-05-28;18:16:03;46.43;15.8;3.79;281.065;gps;0.089;0;0;0;"1""."
61349;"""2403";2021-12-21;10:20:55;46.050000000000004;14.459999999999999;2500;0;network;0.09;0;0;0;"1""."
14447;"""448";2021-09-08;08:23:31;45.919999999999995;15.48;3.79;203.997;gps;0.09;0;0;0;"1""."
14514;"""515";2021-09-08;08:25:36;45.940000000000005;15.489999999999998;3.79;201.877;gps;0.09;0;0;0;"1""."
47714;"""1867";2021-09-23;06:30:55;46.260000000000005;15.069999999999999;3.79;321.68;gps;0.09;0;0;0;"1""."
3832;"""3833";2021-09-06;10:33:39;45.970000000000006;14.71;3.79;468.261;gps;0.09;0;0;0;"1""."
49765;"""3918";2021-09-23;07:38:07;46.589999999999996;15.84;3.79;295.355;gps;0.09;0;0;0;"1""."
49475;"""3628";2021-09-23;07:28:35;46.57;15.83;3.79;291.95;gps;0.09;0;0;0;"1""."
49430;"""3583";2021-09-23;07:27:06;46.57;15.809999999999999;3.79;305.607;gps;0.09;0;0;0;"1""."
49997;"""4150";2021-09-23;07:45:40;46.64;15.91;3.79;288.158;gps;0.09;0;0;0;"1""."
49318;"""3471";2021-09-23;07:23:25;46.580000000000005;15.74;3.79;290.784;gps;0.09;0;0;0;"1""."
56238;"""3289";2022-05-28;19:05:54;46.19;14.9;3.79;557.349;gps;0.091;0;0;0;"1""."
55134;"""2185";2022-05-28;18:45:54;46.25;15.309999999999999;3.79;293.676;gps;0.091;0;0;0;"1""."
3525;"""3526";2021-09-06;10:23:38;46.01;14.55;3.79;354.428;gps;0.091;0;0;0;"1""."
56698;"""3749";2022-05-28;19:15:54;46.17;14.7;3.79;386.252;gps;0.091;0;0;0;"1""."
49844;"""3997";2021-09-23;07:40:43;46.6;15.87;4.033;301.375;gps;0.091;0;0;0;"1""."
50204;"""4357";2021-09-23;07:52:27;46.68;15.969999999999999;3.79;257.813;gps;0.091;0;0;0;"1""."
8904;"""8905";2021-09-06;13:20:24;45.9;15.540000000000001;2500;0;network;0.092;0;0;0;"1""."
49400;"""3553";2021-09-23;07:26:08;46.580000000000005;15.8;3.79;311.358;gps;0.092;0;0;0;"1""."
64762;"""5816";2021-12-21;11:17:49;46.06;14.459999999999999;1700;0;network;0.092;0;0;0;"1""."
14267;"""268";2021-09-08;08:17:41;45.9;15.58;1600;0;network;0.092;0;0;0;"1""."
14448;"""449";2021-09-08;08:23:33;45.93;15.48;3.79;204.646;gps;0.092;0;0;0;"1""."
50141;"""4294";2021-09-23;07:50:22;46.67;15.95;3.79;275.667;gps;0.092;0;0;0;"1""."
49237;"""3390";2021-09-23;07:20:47;46.589999999999996;15.69;3.79;320.372;gps;0.093;0;0;0;"1""."
57564;"""4615";2022-05-28;19:30:54;46.02;14.52;3.79;335.494;gps;0.093;0;0;0;"1""."
50107;"""4260";2021-09-23;07:49:15;46.67;15.940000000000001;10.264;282.488;gps;0.093;0;0;0;"1""."
50039;"""4192";2021-09-23;07:47:03;46.65;15.920000000000002;3.806;274.306;gps;0.093;0;0;0;"1""."
14201;"""202";2021-09-08;08:15:30;45.89;15.600000000000001;3.79;230.195;gps;0.093;0;0;0;"1""."
57786;"""4837";2022-05-28;19:35:54;46.04;14.5;3.79;339.864;gps;0.093;0;0;0;"1""."
50074;"""4227";2021-09-23;07:48:12;46.660000000000004;15.93;9.935;295.316;gps;0.093;0;0;0;"1""."
8888;"""8889";2021-09-06;13:19:52;45.89;15.56;2599.999;0;network;0.093;0;0;0;"1""."
3847;"""3848";2021-09-06;10:34:09;45.96;14.71;3.79;484.985;gps;0.093;0;0;0;"1""."
54206;"""1257";2022-05-28;18:29:29;46.4;15.61;9.935;324.357;gps;0.093;0;0;0;"1""."
49988;"""4141";2021-09-23;07:45:23;46.63;15.91;5.637;301.201;gps;0.093;0;0;0;"1""."
